zbmc,2022n2yJDZ,2022n2yZS,2022n3yJDZ,2022n3yZS,2022n4yJDZ,2022n4yZS,2022n5yJDZ,2022n5yZS,2022n6yJDZ,2022n6yZS,2022n7yJDZ,2022n7yZS,2022n8yJDZ,2022n8yZS,2022n9yJDZ,2022n9yZS,2022n10yJDZ,2022n10yZS,2022n11yJDZ,2022n11yZS,2022n12yJDZ,2022n12yZS
指标名称,2022年2月绝对值,2022年2月增速,2022年3月绝对值,2022年3月增速,2022年4月绝对值,2022年4月增速,2022年5月绝对值,2022年5月增速,2022年6月绝对值,2022年6月增速,2022年7月绝对值,2022年7月增速,2022年8月绝对值,2022年8月增速,2022年9月绝对值,2022年9月增速,2022年10月绝对值,2022年10月增速,2022年11月绝对值,2022年11月增速,2022年12月绝对值,2022年12月增速
规上服务业企业营业收入&交通运输、仓储和邮政业,1174.40,20.80,1720.40,18.00,2260.30,16.90,2849.10,15.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
规上服务业企业营业收入&信息传输、软件和信息技术服务业,1703.90,6.40,2690.60,3.70,3536.60,0.50,4510.20,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
规上服务业企业营业收入&卫生和社会工作,49.90,5.70,81.50,6.40,110.20,4.80,142.30,6.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
规上服务业企业营业收入&居民服务、修理和其他服务业,41.80,9.50,58.20,0.00,76.30,0.00,96.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
规上服务业企业营业收入&房地产业（除房地产开发经营）,131.50,10.20,205.80,5.10,288.10,6.00,357.30,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
规上服务业企业营业收入&教育,10.50,0.00,16.10,0.00,21.60,0.00,26.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
规上服务业企业营业收入&文化、体育和娱乐业,66.20,27.00,92.00,11.70,112.80,6.60,138.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
规上服务业企业营业收入&水利、环境和公共设施管理业,40.70,0.00,62.10,0.00,80.70,0.00,104.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
规上服务业企业营业收入&科学研究和技术服务业,339.00,15.40,467.60,10.80,593.20,13.10,734.10,13.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
规上服务业企业营业收入&租赁和商务服务业,810.00,17.80,1128.40,12.70,1435.00,8.50,1814.30,9.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
总计,4367.90,112.80,6522.70,68.40,8514.80,56.40,10774.00,50.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
